,Name,Year,Value,Area,Area_Percentage
385,BOY_oh_Ki,2019,9025,100.89,2.405625286
386,BOY_oh_Ki,2019,9029,4.15,0.09895277
387,BOY_oh_Ki,2020,115,35.19,0.839071799
388,BOY_oh_Ki,2020,121,28.39,0.676932321
389,BOY_oh_Ki,2020,131,125.83,3.000295666
390,BOY_oh_Ki,2020,171,54.08,1.289485732
391,BOY_oh_Ki,2020,411,340.19,8.111504273
392,BOY_oh_Ki,2020,459,377.04,8.99015718
393,BOY_oh_Ki,2020,602,30.79,0.734158019
394,BOY_oh_Ki,2020,9001,29.83,0.71126774
395,BOY_oh_Ki,2020,9002,1084.41,25.85671639
396,BOY_oh_Ki,2020,9003,162.13,3.865834351
397,BOY_oh_Ki,2020,9007,6.19,0.147594613
398,BOY_oh_Ki,2020,9008,48.82,1.164066077
399,BOY_oh_Ki,2020,9010,36.17,0.862438959
400,BOY_oh_Ki,2020,9011,50.25,1.198163055
401,BOY_oh_Ki,2020,9012,311.27,7.42193461
402,BOY_oh_Ki,2020,9018,206.08,4.913779948
403,BOY_oh_Ki,2020,9020,273.17,6.513476652
404,BOY_oh_Ki,2020,9023,888.38,21.18256905
405,BOY_oh_Ki,2020,9024,0.08,0.001907523
406,BOY_oh_Ki,2020,9025,101.48,2.41969327
407,BOY_oh_Ki,2020,9029,4.15,0.09895277
408,BOY_oh_Ki,2021,115,49.3,1.175511216
409,BOY_oh_Ki,2021,121,55.82,1.330974363
410,BOY_oh_Ki,2021,131,103.68,2.47215016
411,BOY_oh_Ki,2021,171,45.11,1.075604685
412,BOY_oh_Ki,2021,411,287.42,6.853254235
413,BOY_oh_Ki,2021,459,387.12,9.230505112
414,BOY_oh_Ki,2021,602,31.93,0.761340226
415,BOY_oh_Ki,2021,9001,29.83,0.71126774
416,BOY_oh_Ki,2021,9002,1083.46,25.83406455
417,BOY_oh_Ki,2021,9003,162.13,3.865834351
418,BOY_oh_Ki,2021,9007,6.19,0.147594613
419,BOY_oh_Ki,2021,9008,48.82,1.164066077
420,BOY_oh_Ki,2021,9010,35.59,0.848609416
421,BOY_oh_Ki,2021,9011,50.25,1.198163055
422,BOY_oh_Ki,2021,9012,309.92,7.389745155
423,BOY_oh_Ki,2021,9018,208.48,4.971005646
424,BOY_oh_Ki,2021,9020,305.02,7.272909354
425,BOY_oh_Ki,2021,9023,888.14,21.17684648
426,BOY_oh_Ki,2021,9024,0.08,0.001907523
427,BOY_oh_Ki,2021,9025,101.48,2.41969327
428,BOY_oh_Ki,2021,9029,4.15,0.09895277
429,BOY_oh_Ki,2022,115,43.42,1.035308256
430,BOY_oh_Ki,2022,121,40.53,0.966398978
431,BOY_oh_Ki,2022,131,148.25,3.534879063
432,BOY_oh_Ki,2022,171,74.34,1.772566
433,BOY_oh_Ki,2022,411,484.68,11.55672974
434,BOY_oh_Ki,2022,459,595.2,14.19197314
435,BOY_oh_Ki,2022,602,48.23,1.149998092
436,BOY_oh_Ki,2022,9001,29.83,0.71126774
437,BOY_oh_Ki,2022,9002,1083.21,25.82810354
438,BOY_oh_Ki,2022,9003,162.12,3.86559591
439,BOY_oh_Ki,2022,9007,6.19,0.147594613
440,BOY_oh_Ki,2022,9008,48.82,1.164066077
441,BOY_oh_Ki,2022,9010,35.59,0.848609416
442,BOY_oh_Ki,2022,9011,50.25,1.198163055
443,BOY_oh_Ki,2022,9018,207.82,4.955268579
444,BOY_oh_Ki,2022,9020,141.77,3.380369678
445,BOY_oh_Ki,2022,9023,887.97,21.172793
446,BOY_oh_Ki,2022,9024,0.08,0.001907523
447,BOY_oh_Ki,2022,9025,101.47,2.41945483
448,BOY_oh_Ki,2022,9029,4.15,0.09895277
449,BOY_oh_Sp,2016,115,54.14,2.917418833
450,BOY_oh_Sp,2016,121,3.35,0.180520005
451,BOY_oh_Sp,2016,131,76.06,4.098612421
452,BOY_oh_Sp,2016,171,78.17,4.212313081
453,BOY_oh_Sp,2016,411,211.86,11.41640846
454,BOY_oh_Sp,2016,459,256.67,13.83106561
455,BOY_oh_Sp,2016,602,35.42,1.908662266
456,BOY_oh_Sp,2016,9002,268.94,14.49225381
457,BOY_oh_Sp,2016,9003,58.22,3.137276034
458,BOY_oh_Sp,2016,9007,0.14,0.00754412
459,BOY_oh_Sp,2016,9012,188.61,10.16354574
460,BOY_oh_Sp,2016,9018,177.76,9.578876465
461,BOY_oh_Sp,2016,9020,198.03,10.67115721
462,BOY_oh_Sp,2016,9023,147.41,7.943419103
463,BOY_oh_Sp,2016,9024,0.08,0.004310926
464,BOY_oh_Sp,2016,9025,100.89,5.436615923
465,BOY_oh_Sp,2017,115,81.47,4.390138758
466,BOY_oh_Sp,2017,121,13.5,0.727468678
467,BOY_oh_Sp,2017,131,83.78,4.514616732
468,BOY_oh_Sp,2017,171,71.01,3.826485249
469,BOY_oh_Sp,2017,411,190.07,10.24222013
470,BOY_oh_Sp,2017,459,265.34,14.29826216
471,BOY_oh_Sp,2017,602,25.33,1.364946787
472,BOY_oh_Sp,2017,9002,268.94,14.49225381
473,BOY_oh_Sp,2017,9003,58.22,3.137276034
474,BOY_oh_Sp,2017,9007,0.14,0.00754412
475,BOY_oh_Sp,2017,9012,182.58,9.838609727
476,BOY_oh_Sp,2017,9018,174.26,9.390273474
477,BOY_oh_Sp,2017,9020,194.03,10.45561094
478,BOY_oh_Sp,2017,9023,146.11,7.873366563
479,BOY_oh_Sp,2017,9024,0.08,0.004310926
480,BOY_oh_Sp,2017,9025,100.89,5.436615923
481,BOY_oh_Sp,2018,115,36.04,1.942071939
482,BOY_oh_Sp,2018,121,4.33,0.233328843
483,BOY_oh_Sp,2018,131,67.73,3.649737303
484,BOY_oh_Sp,2018,171,65.35,3.521487269
485,BOY_oh_Sp,2018,411,265.2,14.29071804
486,BOY_oh_Sp,2018,459,264.87,14.27293547
487,BOY_oh_Sp,2018,602,15.48,0.834164085
488,BOY_oh_Sp,2018,9002,268.94,14.49225381
489,BOY_oh_Sp,2018,9003,58.22,3.137276034
490,BOY_oh_Sp,2018,9007,0.14,0.00754412
491,BOY_oh_Sp,2018,9012,186.72,10.06170012
492,BOY_oh_Sp,2018,9018,175.12,9.436615923
493,BOY_oh_Sp,2018,9020,200.53,10.80587364
494,BOY_oh_Sp,2018,9023,146.11,7.873366563
495,BOY_oh_Sp,2018,9024,0.08,0.004310926
496,BOY_oh_Sp,2018,9025,100.89,5.436615923
497,BOY_oh_Sp,2019,115,40.75,2.195877677
498,BOY_oh_Sp,2019,121,11.07,0.596524316
499,BOY_oh_Sp,2019,131,83.63,4.506533746
500,BOY_oh_Sp,2019,171,54.15,2.917957699
501,BOY_oh_Sp,2019,411,243.26,13.10844672
502,BOY_oh_Sp,2019,459,268.84,14.48686515
