"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"KRE2","Kinzig","fine","rep 2",2025-03-10,"11:02",2025-03-29,"10:02","093",1,3,4,5,13,2.346,0.317,17.26,1.5,"",19,"rural",3.496,0.854017522637833,0.0453407045534041,2.8271,2.029,0.0311,2.0601,9.3,176.7,0.00179,50,10.8,839
"KRE2","Kinzig","fine","rep 3",2025-03-10,"11:04",2025-03-29,"10:03","714",1,3,4,5,13,2.282,0.26,19.67,1.83,"",19,"rural",3.477,0.854017522637833,0.0453407045534041,2.8118,2.022,0.0311,2.0531,9.3,176.7,0.00178,100,10.8,839
"KRE2","Kinzig","coarse","rep 1",2025-03-10,"11:06",2025-03-29,"10:05","L023",1,0,0,3,4,0.425,0.046,9.02,0.85,"",19,"rural",3.496,0.91228325487691,0.0476630928962099,3.0227,0.379,0.0096,0.3886,9.3,176.7,0.01161,100,10.8,839
"KRE2","Kinzig","coarse","rep 2",2025-03-10,"11:08",2025-03-29,"10:07","L119",1,3,4,5,13,0.856,0.125,25.39,3.69,"",19,"rural",3.491,0.91228325487691,0.0476630928962099,3.0184,0.731,0.0311,0.7621,9.3,176.7,0.00779,50,10.8,839
"KRE2","Kinzig","coarse","rep 3",2025-03-10,"11:10",2025-03-29,"10:10","L077",0,0,0,0,0,0.147,0.013,0,0,"Significant leaf consumption by macroinvertebrates observed",19,"rural",3.476,0.91228325487691,0.0476630928962099,3.0054,0.134,0,0.134,9.3,176.7,0.0176,100,10.8,839
"KLI","Kinzig","fine","rep 1",2025-03-11,"09:00",2025-03-27,"16:30","139",1,3,4,5,13,2.43,0.302,17.78,2.23,"",16,NA,3.462,0.854017522637833,0.0453407045534041,2.7996,2.128,0.0311,2.1591,9.1,145.6,0.00178,7,11.1,85
"KLI","Kinzig","fine","rep 2",2025-03-11,"09:02",2025-03-27,"16:32","108",1,3,4,5,13,3.619,1.04,16.95,1.9,"",16,NA,3.481,0.854017522637833,0.0453407045534041,2.815,2.579,0.0311,2.6101,9.1,145.6,0.00052,6,11.1,85
"KLI","Kinzig","fine","rep 3",2025-03-11,"09:04",2025-03-27,"16:33","083",1,0,0,3,4,2.317,0.422,7.94,0.63,"",16,NA,3.505,0.854017522637833,0.0453407045534041,2.8344,1.895,0.0096,1.9046,9.1,145.6,0.00273,2,11.1,85
"ORB1","Kinzig","fine","rep 1",2025-03-11,"14:00",2025-03-26,"09:45","048",1,3,4,5,13,3.163,1.025,16.84,2.24,"",15,"urban",3.487,0.854017522637833,0.0453407045534041,2.8199,2.138,0.0311,2.1691,8.9,133.5,0.00197,15,11.7,98
"ORB1","Kinzig","fine","rep 2",2025-03-11,"14:02",2025-03-26,"09:46","194",1,3,4,5,13,2.855,0.66,17.72,2.76,"",15,"urban",3.532,0.854017522637833,0.0453407045534041,2.8562,2.195,0.0311,2.2261,8.9,133.5,0.00187,25,11.7,98
"ORB1","Kinzig","fine","rep 3",2025-03-11,"14:04",2025-03-26,"09:47","126",1,3,4,5,13,3.416,0.962,17.47,2.53,"",15,"urban",3.537,0.854017522637833,0.0453407045534041,2.8603,2.454,0.0311,2.4851,8.9,133.5,0.00105,25,11.7,98
"ORB1","Kinzig","coarse","rep 1",2025-03-11,"14:06",2025-03-26,"09:48","L052",1,3,4,5,13,1.039,0.085,15.77,1.4,"",15,"urban",3.499,0.91228325487691,0.0476630928962099,3.0253,0.954,0.0311,0.9851,8.9,133.5,0.0084,15,11.7,98
"ORB1","Kinzig","coarse","rep 2",2025-03-11,"14:08",2025-03-26,"09:50","L217",1,0,0,5,6,0.955,0.088,18.31,1.47,"",15,"urban",3.469,0.91228325487691,0.0476630928962099,2.9994,0.867,0.0143,0.8813,8.9,133.5,0.00917,25,11.7,98
"ORB1","Kinzig","coarse","rep 3",2025-03-11,"14:10",2025-03-26,"09:55","L127",1,0,0,2,3,1.413,0.185,7.21,0.71,"",15,"urban",3.493,0.91228325487691,0.0476630928962099,3.0201,1.228,0.0072,1.2352,8.9,133.5,0.0067,25,11.7,98
"ORB2","Kinzig","fine","rep 1",2025-03-11,"15:30",2025-03-26,"11:45","567",1,3,4,5,13,4.203,1.796,19.34,5.3,"",15,"rural",3.526,0.854017522637833,0.0453407045534041,2.8514,2.407,0.0311,2.4381,8.9,133.5,0.00117,42,11.6,123
"ORB2","Kinzig","fine","rep 2",2025-03-11,"15:32",2025-03-26,"11:46","260",1,3,4,5,13,3.866,1.457,19.42,3.85,"",15,"rural",3.504,0.854017522637833,0.0453407045534041,2.8336,2.409,0.0311,2.4401,8.9,133.5,0.00112,12,11.6,123
"ORB2","Kinzig","fine","rep 3",2025-03-11,"15:34",2025-03-26,"11:47","241",1,3,4,5,13,2.906,0.76,19.83,2.44,"",15,"rural",3.537,0.854017522637833,0.0453407045534041,2.8603,2.146,0.0311,2.1771,8.9,133.5,0.00204,30,11.6,123
"ORB2","Kinzig","coarse","rep 1",2025-03-11,"15:36",2025-03-26,"11:48","L038",0,0,0,0,0,0.36,0.031,0,0,"Significant leaf consumption by macroinvertebrates observed",15,"rural",3.533,0.91228325487691,0.0476630928962099,3.0547,0.329,0,0.329,8.9,133.5,0.01669,42,11.6,123
"ORB2","Kinzig","coarse","rep 3",2025-03-11,"15:40",2025-03-26,"11:55","L311",1,0,0,2,3,0.151,0.01,6.49,0.59,"",15,"rural",3.536,0.91228325487691,0.0476630928962099,3.0573,0.141,0.0072,0.1482,8.9,133.5,0.02267,30,11.6,123
"SAL1","Kinzig","fine","rep 1",2025-03-11,"10:30",2025-03-27,"11:45","598",1,3,4,5,13,2.228,0.212,16.62,1.3,"",16,"rural",3.473,0.854017522637833,0.0453407045534041,2.8085,2.016,0.0311,2.0471,8.1,129.6,0.00244,0,14,171
"SAL1","Kinzig","fine","rep 2",2025-03-11,"10:32",2025-03-27,"11:47","029",1,3,4,5,13,2.188,0.195,16.88,1.09,"",16,"rural",3.52,0.854017522637833,0.0453407045534041,2.8465,1.993,0.0311,2.0241,8.1,129.6,0.00263,5,14,171
"SAL1","Kinzig","fine","rep 3",2025-03-11,"10:34",2025-03-27,"11:49","234",1,3,4,5,13,2.618,0.405,16.89,1.44,"",16,"rural",3.516,0.854017522637833,0.0453407045534041,2.8433,2.213,0.0311,2.2441,8.1,129.6,0.00183,10,14,171
"SAL1","Kinzig","coarse","rep 2",2025-03-11,"10:38",2025-03-27,"11:53","L105",1,3,4,5,13,2.011,0.135,19.07,1.19,"",16,"rural",3.54,0.91228325487691,0.0476630928962099,3.0608,1.876,0.0311,1.9071,8.1,129.6,0.00365,5,14,171
